d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12
0.018735963619683993,0.35092921925582843,0.23022676076237292,0.231147831173103,-0.02443236874999788,-0.10672368359806117,-0.09710913806919153,-0.04349624896882598,0.300127793011834,-0.13444600418107622,0.734358016093164,-0.007851508616947722
-0.02365207980664641,-0.011000099558400755,0.06476144316536603,0.5341792933919685,-0.25289117377972725,0.6541661324729371,-0.16596386561909426,0.004263503798936696,-0.06076946577967113,-0.22080049488997688,0.045031390661453674,-0.06228351594471526
0.3337075172797592,0.10705529305585215,-0.33199997310253115,-0.0585063147401188,0.09534067119764944,-0.16545026089794357,0.10741914328282887,-0.07681066673716352,-0.5025796607011315,0.33466899883545564,0.24085287539574463,-0.19467381206114287
0.326678078456323,0.21528037735369265,-0.23190268797911107,0.126986668124917,0.29774022546050016,-0.23061005724584738,0.13220634796551023,0.6884000944020494,0.03722357530801723,-0.2685780852839552,-0.11598086582412903,0.2178312466468164
0.25507064558052295,-0.025868437783978848,-0.0008367193993386035,-0.42928646577889285,-0.03239988077127576,-0.24493323193244199,0.09316669240314579,0.4321629912463463,0.07073563538940175,0.46626533371228884,0.07025561547189141,-0.15144791548259495
0.17268829093819127,0.4071031070783202,0.2823514270587817,0.0999685394857468,-0.06536397126078186,0.2110186978553965,-0.34124623927830555,0.03410933075751754,-0.44980076494167065,-0.2411358380585047,0.4897947124019373,0.07787853276892198
0.3966853128246961,0.12900351387115316,-0.05250587216740388,-0.3312049566555997,-0.41775697104517184,-0.23364270259642161,-0.20771576064470487,0.09148226042641294,0.20012866427416864,-0.012495183643423058,0.4234086340976604,0.07621117017368406
0.3447241440935833,0.1306396624357853,-0.4414934010627056,-0.46662982450279333,0.44438680170431466,0.04356600917721498,0.040423833839977164,-0.046154048404771775,-0.34057879579362904,-0.10039636375416983,-0.09587186026894856,-0.0220270691268023
0.2744298540781682,-0.18575949429346506,0.011737913989630089,0.09259010809051427,0.00589377104287836,0.3003063123686047,0.26301594331717615,0.1553334399232853,0.264420762860093,-0.06377956068400503,0.5508857039488138,-0.5528425472653149
0.17249359521517627,0.147454260462049,-0.1337676489126678,-0.05607580825849934,0.15990913308240806,-0.39026406175670925,0.3282168270246364,-0.1674300019656907,0.299898755773528,-0.34834870270101015,0.4611732394018002,0.40616975786702425
0.18797466226411585,-0.08186843336333505,0.41321207299504903,0.2732139320232092,0.4582612617051358,-0.20213165316073245,0.19130982310210465,0.23724780091281206,-0.02115600283824559,-0.2798170855274962,0.3079104380095843,-0.30508436681470474
0.08332652751241598,0.044884250722319274,-0.0525340261172198,0.06192921355422443,-0.43090955710015266,-0.19250241632385312,-0.02413775410387009,-0.44970467002169423,0.04620113124874492,-0.07591455030430105,-0.31032971812703436,0.18589763038037987
-0.04861026370133548,0.3119909343924663,0.13424605684364144,0.005723445582867637,-0.33938904219441524,0.4061630404550469,-0.37244680194895996,0.10414269533782439,0.3931521661103008,0.10374218083035802,-0.29272635493630705,-0.44401992642298893
-0.49692012395675267,-0.4185218480848816,0.2957164932688894,0.03072442621263205,0.07122890823296957,0.07398954324095985,-0.08176814504163121,0.31002272242428375,0.11079227906148126,0.016702763841694335,0.029110344158678858,0.33448949818715557
-0.17642699447637877,-0.324999216738876,-0.12142728620374732,-0.3784318923874188,-0.06919246705191973,-0.46876970237283855,-0.36406443404376443,-0.24940207556385818,0.0800074994823965,-0.1183998283113068,-0.40946705220089563,0.24430911717894
0.17387988921946662,-0.02281282277407226,-0.2982030915223939,0.20019955815018542,0.05670364104271153,0.31789544483864174,0.3298049298699093,-0.07683260299865302,-0.5949171842715166,0.14273590756246723,-0.23954432972064166,-0.375697635960234
-0.4317748132752188,-0.21354519253640647,-0.345901060901203,-0.16959411199357133,0.08326230126032463,0.2771564185957396,0.11264952540715267,0.5522299273544793,0.002687097343030187,0.1896124097434797,0.053137735571441747,0.0196169024277848
